"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2018,1,1,"박효신 (朴孝信)","겨울소리","겨울소리","겨울소리","",4,0,0
2018,1,2,"DEAN","instagram","instagram","","instagram",0,9,1
2018,1,3,"문문 (MoonMoon)","LIFE IS BEAUTY FULL","비행운","비행운","",3,0,0
2018,1,4,"TWICE","Merry & Happy","Heart Shaker","","Heart Shaker",0,12,1
2018,1,5,"장덕철","그날처럼","그날처럼","그날처럼","",4,0,0
2018,1,6,"멜로망스(Melomance)","Moonlight","선물","선물","",2,0,0
2018,1,7,"나얼 (Naul)","기억의 빈자리","기억의 빈자리","기억의 빈자리","",7,0,0
2018,1,8,"펀치 (Punch)","밤이 되니까","밤이 되니까","밤이 되니까","",6,0,0
2018,1,9,"윤종신, 민서","2017 월간 윤종신 11월호","좋아","좋아","",2,0,0
2018,1,10,"윤종신","LISTEN 010 좋니","좋니","좋니","",2,0,0
2018,1,11,"Red Velvet","Perfect Velvet - The 2nd Album","피카부 (Peek-A-Boo)","피카부","",3,0,1
2018,1,12,"종현 (JONGHYUN)","종현 소품집 `이야기 Op.2`","Lonely","","Lonely",0,6,1
2018,1,13,"EXO","Universe - 겨울 스페셜 앨범, 2017","Universe","","Universe",0,8,1
2018,1,14,"TWICE","twicetagram","LIKEY","","LIKEY",0,5,1
2018,1,15,"자이언티(Zion.T)","눈","눈","눈","",1,0,0
2018,1,17,"박원","0M","all of my life","","all of my life",0,14,1
2018,1,18,"어반 자카파 (Urban Zakapa)","그때의 나, 그때의 우리","그때의 나, 그때의 우리","그때의 나  그때의 우리","",13,0,0
2018,1,19,"Wanna One (워너원)","1-1=0 (NOTHING WITHOUT YOU)","Beautiful","","Beautiful",0,9,1
2018,1,20,"BTS","LOVE YOURSELF 承 `Her`","DNA","","DNA",0,3,1
2018,1,21,"볼빨간사춘기 (BOL4)","Red Diary Page.1","썸 탈꺼야","썸 탈꺼야","",5,0,0
2018,1,22,"비투비 (BTOB)","Brother Act.","그리워하다","그리워하다","",5,0,0
2018,1,23,"에픽하이 (EPIK HIGH)","WE`VE DONE SOMETHING WONDERFUL","연애소설","연애소설","",4,0,0
2018,1,24,"우원재","시차 (We Are)","시차","시차","",2,0,0
2018,1,25,"길구봉구","Star","이 별","이 별","",3,0,0
2018,1,26,"선미","SUNMI SPECIAL EDITION [가시나]","가시나","가시나","",3,0,0
2018,1,28,"아이유 (IU)","밤편지","밤편지","밤편지","",3,0,0
2018,1,31,"임창정","그 사람을 아나요","그 사람을 아나요","그 사람을 아나요","",9,0,0
2018,1,32,"헤이즈 (Heize)","/// (너 먹구름 비)","비도 오고 그래서","비도 오고 그래서","",9,0,0
2018,1,33,"양다일","inside","미안해","미안해","",3,0,0
2018,1,34,"이하이","SEOULITE","한숨","한숨","",2,0,0
2018,1,35,"에일리 (Ailee)","도깨비 OST Part 9","첫눈처럼 너에게 가겠다","첫눈처럼 너에게 가겠다","",12,0,0
2018,1,36,"마마무 (Mamamoo)","칠해줘","칠해줘","칠해줘","",3,0,0
2018,1,37,"볼빨간사춘기 (BOL4)","Red Diary Page.1","나의 사춘기에게","나의 사춘기에게","",8,0,0
2018,1,38,"허각","바보야","바보야","바보야","",3,0,0
2018,1,39,"박원","1/24","노력","노력","",2,0,0
2018,1,41,"EXID","Full Moon","덜덜덜","덜덜덜","",3,0,0
2018,1,42,"Wanna One (워너원)","1X1=1(TO BE ONE)","에너제틱 (Energetic)","에너제틱","",4,0,1
2018,1,43,"소유 (SOYOU), 성시경","소유X성시경 `뻔한 이별`","뻔한 이별","뻔한 이별","",5,0,0
2018,1,44,"지아 (Zia)","바보에게 바보가","바보에게 바보가","바보에게 바보가","",8,0,0
2018,1,45,"Red Velvet","The Red Summer - Summer Mini Album","빨간 맛 (Red Flavor)","빨간 맛","",4,0,1
2018,1,46,"볼빨간사춘기 (BOL4)","Red Diary Page.1","Blue","","Blue",0,4,1
2018,1,47,"BLACKPINK","마지막처럼","마지막처럼","마지막처럼","",5,0,0
2018,1,48,"포맨 (4Men)","REMEMBER ME","눈 떠보니 이별이더라","눈 떠보니 이별이더라","",11,0,0
2018,1,49,"태연 (TAEYEON)","This Christmas Winter is Coming","This Christmas","","This Christmas",0,14,1
2018,1,50,"EXO","THE WAR - The 4th Album","Ko Ko Bop","","Ko Ko Bop",0,9,1
2018,1,51,"황치열","Be ordinary","매일 듣는 노래 (A Daily Song)","매일 듣는 노래","",8,0,1
2018,1,52,"위너(WINNER)","FATE NUMBER FOR","REALLY REALLY","","REALLY REALLY",0,13,1
2018,1,53,"에픽하이 (EPIK HIGH)","WE`VE DONE SOMETHING WONDERFUL","빈차","빈차","",2,0,0
2018,1,54,"헤이즈 (Heize)","슬기로운 감빵생활 OST Part 5","좋았을걸","좋았을걸","",4,0,0
2018,1,55,"BTS","LOVE YOURSELF 承 `Her`","고민보다 Go","고민보다","Go",4,2,1
2018,1,56,"아이유 (IU)","꽃갈피 둘","가을 아침","가을 아침","",5,0,0
2018,1,57,"멜로망스(Melomance)","Yellow OST part.2","짙어져","짙어져","",3,0,0
2018,1,58,"볼빨간 사춘기, 스무살","남이 될 수 있을까","남이 될 수 있을까","남이 될 수 있을까","",10,0,0
2018,1,59,"종현 (JONGHYUN)","종현 소품집 `이야기 Op.1`","하루의 끝 (End of a day)","하루의 끝","",5,0,1
2018,1,60,"EXO","Universe - 겨울 스페셜 앨범, 2017","지나갈 테니 (Been Through)","지나갈 테니","",6,0,1
2018,1,61,"아이유 (IU)","Palette","팔레트","팔레트","",3,0,0
2018,1,62,"버즈 (Buzz)","`Be One` - Buzz The 1st Mini Album","사랑하지 않은 것처럼","사랑하지 않은 것처럼","",11,0,0
2018,1,63,"헤이즈 (Heize)","/// (너 먹구름 비)","널 너무 모르고","널 너무 모르고","",8,0,0
2018,1,65,"Wanna One (워너원)","1-1=0 (NOTHING WITHOUT YOU)","갖고 싶어","갖고 싶어","",5,0,0
2018,1,66,"10cm","4.0","폰서트","폰서트","",3,0,0
2018,1,67,"볼빨간사춘기 (BOL4)","군주 - 가면의 주인 OST Part 2","처음부터 너와 나","처음부터 너와 나","",9,0,0
2018,1,69,"에픽하이 (EPIK HIGH)","WE`VE DONE SOMETHING WONDERFUL","노땡큐","노땡큐","",3,0,0
2018,1,70,"엠씨더맥스 (M.C The Max)","pathos","어디에도","어디에도","",4,0,0
2018,1,71,"수란 (SURAN)","WINE","오늘 취하면","오늘 취하면","",6,0,0
2018,1,72,"EXO","Universe - 겨울 스페셜 앨범, 2017","Stay","","Stay",0,4,1
2018,1,73,"현아 (HyunA)","Lip & Hip","Lip & Hip","","Lip   Hip",0,9,1
2018,1,74,"EXO","The Power Of Music - The 4th Album Repackage","Power","","Power",0,5,1
2018,1,75,"BTS","LOVE YOURSELF 承 `Her`","MIC Drop","","MIC Drop",0,8,1
2018,1,76,"마크툽 (MAKTUB), 구윤회","마크툽 프로젝트 Vol.03","Marry Me","","Marry Me",0,8,1
