year,time,rank,song_title,artist,album
2018,1,1,겨울소리,박효신 (朴孝信),겨울소리
2018,1,2,instagram,DEAN,instagram
2018,1,3,비행운,문문 (MoonMoon),LIFE IS BEAUTY FULL
2018,1,4,Heart Shaker,TWICE,Merry & Happy
2018,1,5,그날처럼,장덕철,그날처럼
2018,1,6,선물,멜로망스(Melomance),Moonlight
2018,1,7,기억의 빈자리,나얼 (Naul),기억의 빈자리
2018,1,8,밤이 되니까,펀치 (Punch),밤이 되니까
2018,1,9,좋아,"윤종신, 민서",2017 월간 윤종신 11월호
2018,1,10,좋니,윤종신,LISTEN 010 좋니
2018,1,11,피카부 (Peek-A-Boo),Red Velvet,Perfect Velvet - The 2nd Album
2018,1,12,Lonely (Feat. 태연),종현 (JONGHYUN),종현 소품집 `이야기 Op.2`
2018,1,13,Universe,EXO,"Universe - 겨울 스페셜 앨범, 2017"
2018,1,14,LIKEY,TWICE,twicetagram
2018,1,15,눈 (Feat. 이문세),자이언티(Zion.T),눈
2018,1,16,Havana (Feat. Young Thug),XXXXX,Camila
2018,1,17,all of my life,박원,0M
2018,1,18,"그때의 나, 그때의 우리",어반 자카파 (Urban Zakapa),"그때의 나, 그때의 우리"
2018,1,19,Beautiful,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU)
2018,1,20,DNA,BTS,LOVE YOURSELF 承 `Her`
2018,1,21,썸 탈꺼야,볼빨간사춘기 (BOL4),Red Diary Page.1
2018,1,22,그리워하다,비투비 (BTOB),Brother Act.
2018,1,23,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),WE`VE DONE SOMETHING WONDERFUL
2018,1,24,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
2018,1,25,이 별,길구봉구,Star
2018,1,26,가시나,선미,SUNMI SPECIAL EDITION [가시나]
2018,1,27,Santa Tell Me,XXXXX,Santa Tell Me
2018,1,28,밤편지,아이유 (IU),밤편지
2018,1,29,Shape of You,XXXXX,÷ (Deluxe)
2018,1,30,There`s Nothing Holdin` Me Back,XXXXX,Illuminate (New Deluxe Ver.)
2018,1,31,그 사람을 아나요,임창정,그 사람을 아나요
2018,1,32,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
2018,1,33,미안해,양다일,inside
2018,1,34,한숨,이하이,SEOULITE
2018,1,35,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
2018,1,36,칠해줘,마마무 (Mamamoo),칠해줘
2018,1,37,나의 사춘기에게,볼빨간사춘기 (BOL4),Red Diary Page.1
2018,1,38,바보야,허각,바보야
2018,1,39,노력,박원,1/24
2018,1,40,봄날,BTS,YOU NEVER WALK ALONE
2018,1,41,덜덜덜,EXID,Full Moon
2018,1,42,에너제틱 (Energetic),Wanna One (워너원),1X1=1(TO BE ONE)
2018,1,43,뻔한 이별,"소유 (SOYOU), 성시경",소유X성시경 `뻔한 이별`
2018,1,44,바보에게 바보가,지아 (Zia),바보에게 바보가
2018,1,45,빨간 맛 (Red Flavor),Red Velvet,The Red Summer - Summer Mini Album
2018,1,46,Blue,볼빨간사춘기 (BOL4),Red Diary Page.1
2018,1,47,마지막처럼,BLACKPINK,마지막처럼
2018,1,48,눈 떠보니 이별이더라,포맨 (4Men),REMEMBER ME
2018,1,49,This Christmas,태연 (TAEYEON),This Christmas Winter is Coming
2018,1,50,Ko Ko Bop,EXO,THE WAR - The 4th Album
2018,1,51,매일 듣는 노래 (A Daily Song),황치열,Be ordinary
2018,1,52,REALLY REALLY,위너(WINNER),FATE NUMBER FOR
2018,1,53,빈차 (Feat. 오혁),에픽하이 (EPIK HIGH),WE`VE DONE SOMETHING WONDERFUL
2018,1,54,좋았을걸,헤이즈 (Heize),슬기로운 감빵생활 OST Part 5
2018,1,55,고민보다 Go,BTS,LOVE YOURSELF 承 `Her`
2018,1,56,가을 아침,아이유 (IU),꽃갈피 둘
2018,1,57,짙어져,멜로망스(Melomance),Yellow OST part.2
2018,1,58,남이 될 수 있을까,"볼빨간 사춘기, 스무살",남이 될 수 있을까
2018,1,59,하루의 끝 (End of a day),종현 (JONGHYUN),종현 소품집 `이야기 Op.1`
2018,1,60,지나갈 테니 (Been Through),EXO,"Universe - 겨울 스페셜 앨범, 2017"
2018,1,61,팔레트 (Feat. G-DRAGON),아이유 (IU),Palette
2018,1,62,사랑하지 않은 것처럼,버즈 (Buzz),`Be One` - Buzz The 1st Mini Album
2018,1,63,널 너무 모르고,헤이즈 (Heize),/// (너 먹구름 비)
2018,1,64,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
2018,1,65,갖고 싶어,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU)
2018,1,66,폰서트,10cm,4.0
2018,1,67,처음부터 너와 나,볼빨간사춘기 (BOL4),군주 - 가면의 주인 OST Part 2
2018,1,68,Closer (Feat. Halsey),XXXXX,Collage
2018,1,69,"노땡큐 (Feat. MINO, 사이먼 도미닉, 더콰이엇)",에픽하이 (EPIK HIGH),WE`VE DONE SOMETHING WONDERFUL
2018,1,70,어디에도,엠씨더맥스 (M.C The Max),pathos
2018,1,71,오늘 취하면 (Feat.창모) (Prod. SUGA),수란 (SURAN),WINE
2018,1,72,Stay,EXO,"Universe - 겨울 스페셜 앨범, 2017"
2018,1,73,Lip & Hip,현아 (HyunA),Lip & Hip
2018,1,74,Power,EXO,The Power Of Music - The 4th Album Repackage
2018,1,75,MIC Drop,BTS,LOVE YOURSELF 承 `Her`
2018,1,76,Marry Me,"마크툽 (MAKTUB), 구윤회",마크툽 프로젝트 Vol.03
2018,1,77,잠 못 드는 밤 비는 내리고,아이유 (IU),꽃갈피 둘
2018,1,78,바람이 불었으면 좋겠어,길구봉구,바람이 불었으면 좋겠어
2018,1,79,내 편이 돼줘,크러쉬 (CRUSH),내 편이 돼줘
2018,1,80,피 땀 눈물,BTS,WINGS
2018,1,81,Fall,EXO,"Universe - 겨울 스페셜 앨범, 2017"
2018,1,82,고양이 (Feat.아이유),선우정아,고양이
2018,1,83,러브스토리 (Feat. 크러쉬),수란 (SURAN),러브스토리 (Love Story)
2018,1,84,miss u,김나영,miss u
2018,1,85,우리 둘만 아는,윤건,우리 둘만 아는
2018,1,86,Good Night,EXO,"Universe - 겨울 스페셜 앨범, 2017"
2018,1,87,What Lovers Do (Feat. SZA),XXXXX,Red Pill Blues (Deluxe Edition)
2018,1,88,Snowman,XXXXX,Snowman
2018,1,89,Lights Out,EXO,"Universe - 겨울 스페셜 앨범, 2017"
2018,1,90,Something Just Like This,XXXXX,Memories...Do Not Open
2018,1,91,Twilight,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU)
2018,1,92,Artist,지코 (ZICO),TELEVISION
2018,1,93,"무제(無題) (Untitled, 2014)",G-Dragon,권지용
2018,1,94,Merry & Happy,TWICE,Merry & Happy
2018,1,95,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
2018,1,96,WHERE YOU AT,뉴이스트 W,"W, HERE"
2018,1,97,추위,"정인, 윤종신",2017 월간 윤종신 12월호
2018,1,98,헤어질 수 밖에,김나영,헤어질 수 밖에
2018,1,99,너였다면,정승환,또 오해영 OST Part 5
2018,1,100,좋다고 말해,볼빨간사춘기 (BOL4),Full Album RED PLANET (Hidden Track)
2019,1,1,180도,벤 (Ben),180˚
2019,1,2,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
2019,1,3,SOLO,제니 (JENNIE),SOLO
2019,1,4,신용재,하은,신용재
2019,1,5,벌써 12시,청하,벌써 12시
